population,minimum_age,maximum_age,gender,zipcode,geo_id
45,62,64,male,04061,8600000US04061
45,22,24,female,38255,8600000US38255
45,5,9,male,45761,8600000US45761
45,80,84,female,66783,8600000US66783
45,40,44,female,80444,8600000US80444
45,50,54,male,88311,8600000US88311
46,55,59,male,52766,8600000US52766
46,62,64,female,61491,8600000US61491
46,20,20,male,78616,8600000US78616
47,75,79,female,44688,8600000US44688
47,80,84,male,56175,8600000US56175
47,40,44,female,62324,8600000US62324
47,40,44,female,71835,8600000US71835
48,45,49,male,12431,8600000US12431
48,45,49,female,36569,8600000US36569
48,15,17,male,44411,8600000US44411
48,60,61,male,49272,8600000US49272
49,10,14,male,01330,8600000US01330
49,18,19,female,07092,8600000US07092
49,62,64,female,48742,8600000US48742
49,18,19,female,57752,8600000US57752
49,80,84,male,60964,8600000US60964
50,30,34,female,50601,8600000US50601
50,30,34,female,61747,8600000US61747
51,67,69,female,12833,8600000US12833
51,62,64,male,28665,8600000US28665
52,40,44,female,38963,8600000US38963
52,30,34,female,88043,8600000US88043
53,75,79,female,03809,8600000US03809
54,45,49,female,15637,8600000US15637
55,65,66,female,43460,8600000US43460
56,10,14,female,31733,8600000US31733
56,80,84,male,32465,8600000US32465
56,0,4,female,58042,8600000US58042
56,25,29,female,85137,8600000US85137
57,65,66,male,20106,8600000US20106
57,21,21,male,22827,8600000US22827
57,50,54,male,37365,8600000US37365
57,60,61,female,38052,8600000US38052
58,60,61,male,11568,8600000US11568
58,35,39,male,31733,8600000US31733
58,10,14,male,38629,8600000US38629
58,30,34,female,47260,8600000US47260
59,85,,female,66088,8600000US66088
59,65,66,male,95386,8600000US95386
60,22,24,female,10516,8600000US10516
60,25,29,male,16912,8600000US16912
60,60,61,female,18255,8600000US18255
60,22,24,male,29696,8600000US29696
60,30,34,female,65325,8600000US65325
60,60,61,female,96755,8600000US96755
61,22,24,female,05089,8600000US05089
61,35,39,male,38642,8600000US38642
61,5,9,male,67867,8600000US67867
62,65,66,female,25213,8600000US25213
62,62,64,female,40379,8600000US40379
62,35,39,female,60043,8600000US60043
62,15,17,male,92401,8600000US92401
63,80,84,female,13480,8600000US13480
63,45,49,male,31066,8600000US31066
64,5,9,female,28515,8600000US28515
64,22,24,female,29450,8600000US29450
64,15,17,male,83113,8600000US83113
66,0,4,male,17744,8600000US17744
66,22,24,male,67062,8600000US67062
66,85,,male,97023,8600000US97023
67,55,59,female,74032,8600000US74032
68,21,21,male,06357,8600000US06357
68,65,66,male,37616,8600000US37616
68,15,17,female,54725,8600000US54725
68,60,61,male,95461,8600000US95461
69,20,20,male,06461,8600000US06461
69,80,84,male,30752,8600000US30752
69,10,14,female,60150,8600000US60150
70,65,66,male,02830,8600000US02830
70,67,69,male,53933,8600000US53933
70,30,34,female,54437,8600000US54437
70,22,24,female,66032,8600000US66032
71,30,34,female,28125,8600000US28125
71,70,74,female,30576,8600000US30576
71,5,9,male,42048,8600000US42048
71,50,54,female,49780,8600000US49780
72,18,19,female,08059,8600000US08059
72,85,,female,39482,8600000US39482
73,15,17,female,23510,8600000US23510
73,20,20,male,46818,8600000US46818
73,62,64,female,48725,8600000US48725
73,50,54,female,58852,8600000US58852
73,60,61,female,70648,8600000US70648
73,62,64,female,85630,8600000US85630
74,80,84,male,22079,8600000US22079
